행정구역명,군집,임야면적_비율,농경지면적_비율,대지면적_비율,공장용지면적_비율,임야면적_변화율,농경지면적_변화율,대지면적_변화율,공장용지면적_변화율,도시화지표_2025
영동군,농업/산림형,85.01,13.33,1.39,0.27,-0.2,-2.25,7.83,47.95,1.66
청주 청원구,도시/산업형,44.74,39.94,9.45,5.87,-4.72,-4.97,13.05,34.05,15.32
음성군,도시/산업형,60.32,29.79,4.09,5.8,-2.82,-4.69,14.62,25.62,9.89
청주 서원구,균형형,59.17,25.94,11.74,3.15,-1.84,-4.64,10.82,22.88,14.89
청주 흥덕구,도시/산업형,43.63,35.91,11.96,8.49,-4.6,-8.57,21.84,22.84,20.450000000000003
제천시,농업/산림형,83.29,13.88,2.26,0.57,-0.74,-2.71,13.3,22.69,2.8299999999999996
청주 상당구,농업/산림형,76.68,18.78,4.26,0.28,-1.12,-4.62,13.92,21.24,4.54
진천군,도시/산업형,65.8,26.25,3.62,4.34,-1.81,-3.33,12.5,21.13,7.96
괴산군,농업/산림형,80.56,17.11,1.83,0.5,-0.46,-1.58,13.71,20.72,2.33
충주시,농업/산림형,75.92,19.13,3.48,1.47,-0.86,-2.8,10.33,17.65,4.95
옥천군,농업/산림형,75.52,21.34,2.49,0.64,-0.53,-2.46,11.74,16.07,3.1300000000000003
보은군,농업/산림형,76.67,21.03,1.87,0.43,-0.27,-1.21,8.35,14.7,2.3000000000000003
증평군,균형형,57.84,32.3,6.76,3.1,-0.84,-3.55,7.77,11.38,9.86
단양군,농업/산림형,88.67,10.03,0.98,0.32,-0.2,-1.97,10.71,3.88,1.3
